crop ID,soil_type,Seedling Stage,MOI,temp,humidity,result
Tomato,Red Soil,Maturation,6,44,16.7,0
Carrot,Loam Soil,Flowering,2,45,20.6,1
Potato,Clay Soil,Fruit/Grain/Bulb Formation,66,23,87.9,0
Chilli,Alluvial Soil,Germination,36,36,73.5,1
Potato,Clay Soil,Pollination,26,29,59.3,0
Potato,Red Soil,Flowering,40,15,90.7,1
Wheat,Clay Soil,Flowering,29,23,77.1,0
Chilli,Red Soil,Vegetative Growth / Root or Tuber Development,15,45,25.2,1
Wheat,Black Soil,Pollination,13,39,30.8,1
Chilli,Sandy Soil,Seedling Stage,50,19,90.3,0
Wheat,Red Soil,Seedling Stage,9,24,76.8,0
Potato,Clay Soil,Vegetative Growth / Root or Tuber Development,11,15,90.9,0
Wheat,Alluvial Soil,Vegetative Growth / Root or Tuber Development,24,26,79.8,1
Tomato,Sandy Soil,Seedling Stage,10,29,65.8,1
Wheat,Sandy Soil,Pollination,57,36,36.3,0
Chilli,Red Soil,Germination,32,14,91.0,0
Tomato,Clay Soil,Vegetative Growth / Root or Tuber Development,25,22,88.8,1
Wheat,Black Soil,Fruit/Grain/Bulb Formation,82,35,50.8,1
Carrot,Black Soil,Pollination,5,19,73.0,1
Potato,Clay Soil,Flowering,56,44,18.2,0
Chilli,Clay Soil,Harvest,57,19,90.6,0
Tomato,Clay Soil,Flowering,41,22,76.2,1
Tomato,Alluvial Soil,Maturation,55,30,63.6,1
Wheat,Red Soil,Vegetative Growth / Root or Tuber Development,49,42,40.9,1
Tomato,Black Soil,Germination,19,42,42.6,1
Chilli,Black Soil,Pollination,17,20,90.4,1
Tomato,Red Soil,Pollination,68,21,84.0,0
Carrot,Black Soil,Flowering,20,39,49.2,0
Tomato,Loam Soil,Pollination,13,36,38.5,0
Wheat,Clay Soil,Flowering,94,26,73.0,0
Wheat,Sandy Soil,Maturation,67,40,25.8,1
Potato,Clay Soil,Germination,64,29,86.5,0
Tomato,Clay Soil,Vegetative Growth / Root or Tuber Development,81,32,64.9,0
Wheat,Sandy Soil,Vegetative Growth / Root or Tuber Development,39,16,86.3,0
Chilli,Chalky Soil,Germination,97,39,74.3,0
Wheat,Sandy Soil,Vegetative Growth / Root or Tuber Development,56,26,82.4,0
Wheat,Sandy Soil,Vegetative Growth / Root or Tuber Development,54,17,88.4,0
Wheat,Alluvial Soil,Flowering,81,16,90.6,0
Potato,Black Soil,Seedling Stage,26,39,73.5,1
Wheat,Clay Soil,Fruit/Grain/Bulb Formation,10,35,70.3,1
Chilli,Loam Soil,Maturation,28,16,90.4,0
Wheat,Sandy Soil,Vegetative Growth / Root or Tuber Development,60,37,32.4,0
Chilli,Chalky Soil,Seedling Stage,3,26,74.9,1
Potato,Black Soil,Pollination,52,16,91.0,1
Wheat,Sandy Soil,Flowering,16,35,30.7,0
Chilli,Loam Soil,Germination,22,32,42.3,0
Carrot,Sandy Soil,Flowering,59,15,87.0,1
Carrot,Black Soil,Germination,77,24,81.2,0
Wheat,Sandy Soil,Flowering,25,25,61.8,0
Tomato,Red Soil,Seedling Stage,52,42,41.8,0
Carrot,Clay Soil,Germination,71,14,91.0,0
Wheat,Clay Soil,Flowering,33,19,75.2,0
Wheat,Clay Soil,Vegetative Growth / Root or Tuber Development,94,21,89.2,0
Wheat,Sandy Soil,Fruit/Grain/Bulb Formation,73,37,49.5,0
Wheat,Sandy Soil,Vegetative Growth / Root or Tuber Development,21,40,51.0,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,41,21,80.1,0
Chilli,Sandy Soil,Germination,18,16,91.0,0
Wheat,Black Soil,Harvest,52,42,22.1,0
Wheat,Alluvial Soil,Vegetative Growth / Root or Tuber Development,22,43,19.8,0
Tomato,Loam Soil,Flowering,52,23,55.2,0
Carrot,Loam Soil,Seedling Stage,8,17,88.6,1
Potato,Clay Soil,Germination,19,15,90.9,0
Chilli,Alluvial Soil,Vegetative Growth / Root or Tuber Development,43,21,56.9,1
Wheat,Clay Soil,Flowering,7,45,17.5,1
Carrot,Sandy Soil,Vegetative Growth / Root or Tuber Development,41,15,90.8,0
Carrot,Loam Soil,Seedling Stage,59,43,31.8,1
Tomato,Chalky Soil,Pollination,8,22,75.9,1
Chilli,Clay Soil,Vegetative Growth / Root or Tuber Development,58,20,81.4,0
Carrot,Red Soil,Vegetative Growth / Root or Tuber Development,19,43,19.3,1
Carrot,Red Soil,Flowering,37,43,23.9,1
Chilli,Alluvial Soil,Germination,82,40,28.5,0
Chilli,Red Soil,Seedling Stage,72,43,28.7,0
Carrot,Sandy Soil,Seedling Stage,89,27,83.6,0
Chilli,Clay Soil,Seedling Stage,61,25,66.9,0
Potato,Red Soil,Vegetative Growth / Root or Tuber Development,18,15,79.1,1
Chilli,Red Soil,Seedling Stage,33,35,40.0,0
Potato,Sandy Soil,Pollination,50,39,43.3,1
Wheat,Sandy Soil,Germination,28,43,32.4,1
Carrot,Red Soil,Flowering,22,27,68.4,0
Wheat,Sandy Soil,Harvest,6,15,90.6,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,49,32,64.6,1
Tomato,Red Soil,Harvest,48,24,85.3,0
Chilli,Red Soil,Vegetative Growth / Root or Tuber Development,57,31,58.0,0
Potato,Red Soil,Vegetative Growth / Root or Tuber Development,21,28,49.0,1
Carrot,Clay Soil,Seedling Stage,3,15,90.1,1
Wheat,Clay Soil,Harvest,14,43,23.9,1
Tomato,Chalky Soil,Pollination,98,17,88.6,0
Wheat,Alluvial Soil,Flowering,70,24,85.1,0
Tomato,Clay Soil,Vegetative Growth / Root or Tuber Development,53,16,91.0,0
Wheat,Clay Soil,Pollination,40,39,24.9,1
Carrot,Loam Soil,Pollination,58,40,21.4,0
Chilli,Sandy Soil,Seedling Stage,73,25,67.6,1
Chilli,Chalky Soil,Vegetative Growth / Root or Tuber Development,63,34,71.1,0
Tomato,Sandy Soil,Fruit/Grain/Bulb Formation,7,19,88.2,0
Wheat,Sandy Soil,Flowering,8,15,90.8,0
Tomato,Clay Soil,Fruit/Grain/Bulb Formation,24,22,77.4,0
Wheat,Black Soil,Flowering,6,42,29.1,1
Tomato,Loam Soil,Germination,43,29,64.0,1
Tomato,Loam Soil,Flowering,59,19,87.9,0
Potato,Clay Soil,Flowering,87,44,18.2,1
Tomato,Clay Soil,Seedling Stage,21,16,91.0,0
Chilli,Chalky Soil,Germination,55,42,39.9,0
Wheat,Sandy Soil,Pollination,25,34,47.2,0
Chilli,Red Soil,Pollination,68,28,68.7,0
Chilli,Clay Soil,Seedling Stage,52,19,89.1,1
Wheat,Sandy Soil,Fruit/Grain/Bulb Formation,7,23,89.5,1
Potato,Red Soil,Seedling Stage,6,21,60.6,1
Wheat,Sandy Soil,Germination,3,32,83.0,0
Tomato,Loam Soil,Vegetative Growth / Root or Tuber Development,8,30,73.5,0
Chilli,Black Soil,Vegetative Growth / Root or Tuber Development,45,46,18.0,1
Wheat,Black Soil,Maturation,10,37,65.0,0
Wheat,Sandy Soil,Maturation,18,23,85.6,0
Potato,Chalky Soil,Maturation,4,15,87.8,0
Chilli,Chalky Soil,Seedling Stage,9,26,87.1,1
Carrot,Clay Soil,Seedling Stage,48,43,25.8,1
Wheat,Sandy Soil,Vegetative Growth / Root or Tuber Development,15,23,88.4,1
Carrot,Alluvial Soil,Flowering,11,31,38.8,0
Wheat,Sandy Soil,Germination,70,40,51.0,0
Wheat,Clay Soil,Flowering,21,15,90.8,0
Tomato,Sandy Soil,Flowering,8,22,63.8,1
Potato,Sandy Soil,Seedling Stage,69,31,66.4,0
Wheat,Red Soil,Maturation,64,30,66.4,0
Potato,Sandy Soil,Seedling Stage,17,26,78.3,0
Wheat,Clay Soil,Pollination,13,30,62.5,0
Tomato,Alluvial Soil,Pollination,41,44,34.2,0
Tomato,Clay Soil,Seedling Stage,23,32,86.1,0
Tomato,Clay Soil,Seedling Stage,28,20,90.0,1
Wheat,Sandy Soil,Vegetative Growth / Root or Tuber Development,45,41,26.0,1
Potato,Red Soil,Flowering,14,25,80.3,0
Tomato,Black Soil,Vegetative Growth / Root or Tuber Development,47,31,57.5,0
Chilli,Sandy Soil,Germination,15,18,90.9,0
Carrot,Black Soil,Flowering,2,18,86.4,1
Chilli,Chalky Soil,Germination,8,14,89.0,0
Tomato,Clay Soil,Harvest,13,17,90.9,0
Carrot,Red Soil,Harvest,13,40,33.1,0
Carrot,Loam Soil,Flowering,21,32,66.0,1
Wheat,Sandy Soil,Flowering,68,35,28.4,1
Wheat,Clay Soil,Maturation,3,34,57.8,0
Potato,Sandy Soil,Flowering,40,44,40.3,0
Carrot,Sandy Soil,Pollination,83,34,60.5,0
Wheat,Clay Soil,Maturation,11,30,57.1,1
Wheat,Clay Soil,Germination,25,36,64.1,0
Wheat,Sandy Soil,Seedling Stage,30,40,45.8,1
Wheat,Sandy Soil,Maturation,36,25,87.6,0
Chilli,Clay Soil,Seedling Stage,69,16,90.6,0
Chilli,Clay Soil,Germination,44,30,84.8,1
Tomato,Clay Soil,Flowering,8,29,36.0,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,10,15,91.0,0
Wheat,Alluvial Soil,Fruit/Grain/Bulb Formation,98,24,90.7,0
Carrot,Alluvial Soil,Maturation,57,22,89.8,0
Chilli,Chalky Soil,Germination,69,24,53.2,0
Wheat,Black Soil,Pollination,52,41,61.2,1
Potato,Red Soil,Flowering,4,42,44.6,0
Wheat,Sandy Soil,Vegetative Growth / Root or Tuber Development,58,30,62.4,0
Chilli,Clay Soil,Vegetative Growth / Root or Tuber Development,78,26,46.9,0
Chilli,Loam Soil,Vegetative Growth / Root or Tuber Development,70,35,69.8,0
Tomato,Loam Soil,Flowering,30,19,72.3,0
Wheat,Clay Soil,Germination,15,25,89.5,0
Potato,Sandy Soil,Pollination,41,20,89.5,0
Wheat,Black Soil,Flowering,60,24,79.2,0
Carrot,Sandy Soil,Maturation,2,23,71.4,1
Tomato,Black Soil,Pollination,70,45,26.4,0
Chilli,Sandy Soil,Seedling Stage,15,15,91.0,1
Potato,Sandy Soil,Fruit/Grain/Bulb Formation,37,24,71.9,1
Carrot,Black Soil,Harvest,28,19,90.3,0
Carrot,Chalky Soil,Vegetative Growth / Root or Tuber Development,25,25,85.8,1
Tomato,Red Soil,Flowering,32,31,43.9,0
Wheat,Red Soil,Germination,27,36,33.6,0
Tomato,Red Soil,Maturation,27,40,29.7,0
Wheat,Loam Soil,Vegetative Growth / Root or Tuber Development,35,23,85.0,0
Potato,Clay Soil,Seedling Stage,42,28,61.7,0
Tomato,Clay Soil,Seedling Stage,78,16,90.9,0
Potato,Chalky Soil,Vegetative Growth / Root or Tuber Development,99,32,41.4,0
Wheat,Clay Soil,Seedling Stage,10,31,52.5,0
Tomato,Loam Soil,Vegetative Growth / Root or Tuber Development,12,30,68.1,1
Wheat,Chalky Soil,Pollination,73,31,59.1,1
Wheat,Clay Soil,Vegetative Growth / Root or Tuber Development,70,25,64.2,1
Chilli,Sandy Soil,Vegetative Growth / Root or Tuber Development,20,15,91.0,0
Wheat,Black Soil,Flowering,59,18,78.0,0
Potato,Black Soil,Maturation,87,36,40.1,0
Wheat,Red Soil,Fruit/Grain/Bulb Formation,22,29,34.5,1
Potato,Clay Soil,Seedling Stage,86,32,82.9,0
Carrot,Black Soil,Vegetative Growth / Root or Tuber Development,59,18,90.8,0
Tomato,Sandy Soil,Flowering,56,37,49.3,1
Potato,Sandy Soil,Seedling Stage,51,17,90.7,0
Wheat,Black Soil,Seedling Stage,5,24,87.3,1
Tomato,Sandy Soil,Vegetative Growth / Root or Tuber Development,73,41,40.0,0
Carrot,Clay Soil,Flowering,16,26,56.4,1
Carrot,Sandy Soil,Pollination,17,40,38.7,1
Wheat,Black Soil,Maturation,88,36,44.6,0
Potato,Red Soil,Seedling Stage,48,34,55.6,0
Wheat,Sandy Soil,Flowering,97,34,21.5,0
Wheat,Loam Soil,Fruit/Grain/Bulb Formation,4,15,89.3,0
Carrot,Clay Soil,Vegetative Growth / Root or Tuber Development,37,14,91.0,0
Carrot,Clay Soil,Flowering,35,21,59.3,1
Potato,Clay Soil,Pollination,17,21,85.6,0
Tomato,Sandy Soil,Seedling Stage,4,26,50.0,0
Wheat,Loam Soil,Seedling Stage,59,44,19.9,0
Tomato,Clay Soil,Germination,80,18,89.5,0
Wheat,Sandy Soil,Flowering,28,43,19.1,0
Wheat,Loam Soil,Flowering,25,18,89.3,0
Wheat,Black Soil,Pollination,27,33,45.9,1
Chilli,Loam Soil,Vegetative Growth / Root or Tuber Development,24,22,81.2,0
Carrot,Clay Soil,Maturation,73,44,18.4,1
Wheat,Red Soil,Fruit/Grain/Bulb Formation,18,45,16.1,1
Chilli,Sandy Soil,Seedling Stage,19,30,56.6,0
Wheat,Sandy Soil,Seedling Stage,49,23,70.7,0
Wheat,Clay Soil,Germination,59,39,44.5,1
Tomato,Clay Soil,Vegetative Growth / Root or Tuber Development,86,30,73.5,0
Potato,Red Soil,Maturation,31,23,81.9,0
Potato,Red Soil,Fruit/Grain/Bulb Formation,68,24,89.0,1
Potato,Sandy Soil,Seedling Stage,40,28,74.7,0
Tomato,Chalky Soil,Pollination,39,37,39.6,1
Carrot,Sandy Soil,Flowering,22,40,73.0,1
Wheat,Sandy Soil,Vegetative Growth / Root or Tuber Development,42,39,51.2,1
Wheat,Red Soil,Maturation,32,30,76.0,1
Potato,Loam Soil,Seedling Stage,22,36,43.8,1
Chilli,Loam Soil,Germination,25,31,61.5,0
Chilli,Loam Soil,Pollination,50,26,65.8,0
Wheat,Chalky Soil,Flowering,68,38,28.5,1
Tomato,Clay Soil,Pollination,23,19,90.2,0
Potato,Clay Soil,Fruit/Grain/Bulb Formation,18,27,83.8,0
Potato,Black Soil,Harvest,31,20,87.7,1
Wheat,Sandy Soil,Vegetative Growth / Root or Tuber Development,12,25,75.5,0
Wheat,Chalky Soil,Flowering,25,20,81.7,0
Wheat,Chalky Soil,Vegetative Growth / Root or Tuber Development,56,44,21.0,0
Wheat,Alluvial Soil,Germination,26,35,59.5,1
Chilli,Loam Soil,Flowering,64,39,29.6,0
Tomato,Clay Soil,Seedling Stage,49,26,72.4,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,14,15,91.0,0
Potato,Sandy Soil,Germination,48,15,90.0,0
Carrot,Black Soil,Germination,72,25,78.9,0
Potato,Red Soil,Seedling Stage,24,19,90.3,0
Chilli,Red Soil,Germination,59,45,19.3,0
Tomato,Alluvial Soil,Vegetative Growth / Root or Tuber Development,43,22,87.6,0
Chilli,Alluvial Soil,Germination,7,44,17.4,1
Wheat,Loam Soil,Harvest,67,19,87.7,0
Wheat,Sandy Soil,Fruit/Grain/Bulb Formation,61,29,39.9,0
Wheat,Sandy Soil,Germination,29,22,88.5,0
Wheat,Sandy Soil,Flowering,26,16,89.3,1
Carrot,Sandy Soil,Vegetative Growth / Root or Tuber Development,77,46,16.1,1
Wheat,Clay Soil,Fruit/Grain/Bulb Formation,7,15,89.8,0
Wheat,Sandy Soil,Flowering,26,23,88.4,0
Tomato,Loam Soil,Vegetative Growth / Root or Tuber Development,24,42,35.9,1
Tomato,Alluvial Soil,Seedling Stage,74,39,25.9,0
Potato,Clay Soil,Pollination,21,22,53.8,0
Wheat,Sandy Soil,Vegetative Growth / Root or Tuber Development,4,17,86.5,0
Chilli,Red Soil,Germination,25,17,90.0,0
Carrot,Red Soil,Pollination,52,27,64.8,0
Tomato,Alluvial Soil,Germination,68,16,86.9,0
Carrot,Black Soil,Germination,79,17,83.1,0
Tomato,Red Soil,Germination,50,14,91.0,0
Wheat,Red Soil,Harvest,72,30,59.5,1
Potato,Red Soil,Germination,14,20,65.4,0
Potato,Alluvial Soil,Vegetative Growth / Root or Tuber Development,3,15,90.8,0
Tomato,Clay Soil,Seedling Stage,20,35,81.7,1
Wheat,Red Soil,Seedling Stage,41,28,83.5,0
Tomato,Sandy Soil,Seedling Stage,45,35,43.2,0
Wheat,Sandy Soil,Vegetative Growth / Root or Tuber Development,32,32,44.4,1
Chilli,Chalky Soil,Vegetative Growth / Root or Tuber Development,7,16,90.5,1
Chilli,Black Soil,Flowering,27,41,22.5,0
Wheat,Black Soil,Pollination,63,34,39.3,1
Wheat,Red Soil,Flowering,66,19,86.6,1
Wheat,Black Soil,Maturation,15,43,54.7,1
Carrot,Clay Soil,Pollination,6,26,88.0,0
Carrot,Sandy Soil,Vegetative Growth / Root or Tuber Development,32,19,76.1,1
Wheat,Black Soil,Harvest,67,21,84.1,0
Chilli,Clay Soil,Seedling Stage,44,24,83.4,1
Wheat,Sandy Soil,Flowering,88,19,61.8,0
Tomato,Clay Soil,Pollination,13,27,76.8,1
Tomato,Clay Soil,Germination,8,17,87.5,1
Wheat,Red Soil,Flowering,68,18,87.9,0
Potato,Loam Soil,Maturation,7,24,81.6,1
Chilli,Clay Soil,Seedling Stage,45,39,22.3,1
Tomato,Loam Soil,Vegetative Growth / Root or Tuber Development,55,23,87.2,1
Wheat,Clay Soil,Vegetative Growth / Root or Tuber Development,27,27,77.0,1
Wheat,Alluvial Soil,Flowering,27,41,38.1,0
Wheat,Alluvial Soil,Pollination,11,28,81.6,1
Chilli,Red Soil,Seedling Stage,34,42,32.2,1
Chilli,Alluvial Soil,Flowering,5,31,42.6,1
Wheat,Clay Soil,Germination,3,26,74.1,1
Wheat,Chalky Soil,Pollination,25,15,90.9,0
Wheat,Red Soil,Maturation,81,18,88.2,0
Tomato,Red Soil,Vegetative Growth / Root or Tuber Development,74,25,89.8,1
Potato,Sandy Soil,Flowering,7,33,70.3,1
Chilli,Clay Soil,Vegetative Growth / Root or Tuber Development,80,27,57.5,0
Wheat,Sandy Soil,Seedling Stage,19,25,44.3,0
Wheat,Loam Soil,Vegetative Growth / Root or Tuber Development,62,26,78.7,1
Potato,Sandy Soil,Pollination,26,25,83.8,0
Wheat,Sandy Soil,Flowering,31,40,67.1,0
Carrot,Red Soil,Pollination,79,42,20.9,0
Potato,Red Soil,Germination,46,21,77.3,1
Tomato,Red Soil,Flowering,26,25,84.6,0
Tomato,Chalky Soil,Seedling Stage,86,19,88.3,0
Potato,Red Soil,Seedling Stage,29,33,66.9,0
Chilli,Red Soil,Pollination,67,21,82.7,0
Potato,Clay Soil,Flowering,60,38,50.2,0
Chilli,Sandy Soil,Seedling Stage,18,14,91.0,0
Potato,Sandy Soil,Vegetative Growth / Root or Tuber Development,31,21,78.9,1
Wheat,Sandy Soil,Flowering,22,20,78.1,0
Wheat,Red Soil,Vegetative Growth / Root or Tuber Development,86,38,39.5,0
Potato,Sandy Soil,Fruit/Grain/Bulb Formation,4,15,90.1,0
Chilli,Red Soil,Seedling Stage,24,33,51.5,1
Wheat,Sandy Soil,Harvest,64,16,90.4,0
Wheat,Red Soil,Flowering,6,35,36.6,0
Tomato,Black Soil,Germination,18,24,72.6,0
Wheat,Black Soil,Maturation,11,20,90.7,0
Chilli,Alluvial Soil,Flowering,72,43,19.1,0
Tomato,Black Soil,Pollination,28,17,88.5,0
Wheat,Red Soil,Vegetative Growth / Root or Tuber Development,64,16,90.5,1
Wheat,Red Soil,Flowering,15,19,89.2,0
Chilli,Black Soil,Seedling Stage,39,29,85.5,1
Carrot,Loam Soil,Germination,63,22,83.4,0
Chilli,Loam Soil,Seedling Stage,88,38,62.0,0
Wheat,Sandy Soil,Vegetative Growth / Root or Tuber Development,60,33,77.7,1
Wheat,Alluvial Soil,Flowering,80,37,48.4,0
Potato,Red Soil,Vegetative Growth / Root or Tuber Development,88,19,89.1,0
Tomato,Loam Soil,Germination,54,41,32.3,0
Carrot,Red Soil,Vegetative Growth / Root or Tuber Development,26,20,87.3,1
Potato,Sandy Soil,Harvest,78,34,69.1,0
Carrot,Red Soil,Pollination,53,23,87.6,1
Wheat,Sandy Soil,Flowering,39,34,33.0,0
Potato,Red Soil,Pollination,43,39,37.5,1
Chilli,Loam Soil,Seedling Stage,15,39,41.7,0
Carrot,Loam Soil,Seedling Stage,77,36,39.0,1
Carrot,Clay Soil,Germination,85,45,30.0,0
Potato,Red Soil,Germination,75,24,74.3,0
Carrot,Sandy Soil,Flowering,31,17,86.5,0
Potato,Loam Soil,Germination,84,39,25.2,1
Wheat,Red Soil,Pollination,77,20,89.5,0
Potato,Clay Soil,Vegetative Growth / Root or Tuber Development,42,42,47.6,1
Tomato,Red Soil,Seedling Stage,41,35,44.5,0
Carrot,Red Soil,Seedling Stage,82,43,20.1,0
Carrot,Clay Soil,Seedling Stage,2,27,76.7,0
Wheat,Clay Soil,Vegetative Growth / Root or Tuber Development,26,37,33.1,1
Carrot,Clay Soil,Pollination,9,27,50.9,1
Potato,Alluvial Soil,Fruit/Grain/Bulb Formation,76,15,89.1,0
Chilli,Sandy Soil,Vegetative Growth / Root or Tuber Development,8,14,91.0,0
Wheat,Sandy Soil,Germination,81,15,89.7,0
Tomato,Loam Soil,Pollination,41,38,20.5,1
Tomato,Sandy Soil,Seedling Stage,20,15,90.7,0
Potato,Clay Soil,Flowering,30,18,90.5,1
Chilli,Clay Soil,Vegetative Growth / Root or Tuber Development,18,24,57.6,0
Wheat,Alluvial Soil,Pollination,22,29,86.9,0
Chilli,Sandy Soil,Germination,92,45,28.9,0
Potato,Clay Soil,Seedling Stage,9,15,90.9,1
Chilli,Clay Soil,Germination,32,24,89.3,0
Carrot,Red Soil,Seedling Stage,59,36,50.8,1
Potato,Clay Soil,Pollination,34,15,91.0,0
Wheat,Black Soil,Seedling Stage,4,33,77.1,1
Chilli,Chalky Soil,Germination,61,25,87.7,1
Carrot,Red Soil,Flowering,19,23,88.0,0
Tomato,Loam Soil,Flowering,61,20,88.1,0
Wheat,Loam Soil,Germination,3,35,57.9,0
Carrot,Loam Soil,Vegetative Growth / Root or Tuber Development,70,45,21.6,0
Wheat,Black Soil,Maturation,13,23,66.0,0
Potato,Red Soil,Vegetative Growth / Root or Tuber Development,10,21,83.2,1
Tomato,Loam Soil,Seedling Stage,45,21,88.8,0
Tomato,Red Soil,Fruit/Grain/Bulb Formation,65,41,32.9,1
Potato,Alluvial Soil,Maturation,10,28,86.7,1
Wheat,Sandy Soil,Vegetative Growth / Root or Tuber Development,83,33,82.7,0
Chilli,Clay Soil,Vegetative Growth / Root or Tuber Development,14,18,89.5,0
Tomato,Loam Soil,Germination,2,32,77.3,1
Carrot,Sandy Soil,Vegetative Growth / Root or Tuber Development,87,42,47.3,0
Wheat,Black Soil,Fruit/Grain/Bulb Formation,47,29,61.6,1
Tomato,Red Soil,Maturation,18,14,91.0,0
Wheat,Red Soil,Fruit/Grain/Bulb Formation,56,34,64.6,0
Tomato,Sandy Soil,Seedling Stage,29,32,22.2,1
Carrot,Sandy Soil,Germination,7,19,90.9,1
Tomato,Clay Soil,Flowering,37,37,32.0,0
Wheat,Clay Soil,Flowering,54,24,76.5,0
Carrot,Sandy Soil,Flowering,77,22,88.2,0
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,27,31,86.5,0
Chilli,Red Soil,Seedling Stage,94,20,90.6,0
Chilli,Sandy Soil,Vegetative Growth / Root or Tuber Development,24,28,78.0,1
Wheat,Clay Soil,Germination,33,14,91.0,0
Carrot,Alluvial Soil,Pollination,89,35,36.8,0
Potato,Black Soil,Seedling Stage,93,30,62.2,0
Wheat,Clay Soil,Seedling Stage,4,19,86.3,1
Carrot,Red Soil,Germination,85,33,76.1,0
Carrot,Sandy Soil,Vegetative Growth / Root or Tuber Development,7,20,78.1,0
Carrot,Chalky Soil,Maturation,72,45,17.0,1
Carrot,Red Soil,Pollination,9,17,89.3,0
Tomato,Black Soil,Germination,50,44,21.5,1
Carrot,Sandy Soil,Flowering,18,20,84.8,0
Carrot,Black Soil,Vegetative Growth / Root or Tuber Development,3,17,89.8,0
Tomato,Loam Soil,Flowering,29,41,18.0,1
Tomato,Chalky Soil,Flowering,34,40,64.7,1
